Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
	Device: Intel(R) Gen12LP HD Graphics NEO
		driverVersion: 20.35.0
		computeUnits:  96
		clockFreq:     1650

LevelZero driver version: 0x1000000
	Device: Intel(R) Gen12LP
		vendorId:     0x8086
		deviceId:     0x4905
		clockFreq:    1650
		config:       1x6x16
		euCount:      96
		threadsPerEu: 7

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                 FlushTime(api=ocl wgc=1000 wgs=256 event=1)          2.546          0.948        186.80%          0.884         16.812
                NewResourcesSubmissionDevice(api=ocl size=1)        102.364         99.422         36.01%         65.206        181.406
             NewResourcesSubmissionDevice(api=ocl size=64KB)        106.474         97.965         34.40%         64.307        163.371
            NewResourcesSubmissionDevice(api=ocl size=512KB)        205.322        212.478         11.32%        146.038        230.875
              NewResourcesSubmissionDevice(api=ocl size=1MB)        303.134        308.194          9.73%        239.263        334.505
             NewResourcesSubmissionDevice(api=ocl size=16MB)       3552.716       2160.949        131.31%       1478.414      17526.168
             NewResourcesSubmissionDevice(api=ocl size=64MB)       9957.389       6973.146         56.64%       5237.610      19712.715
            NewResourcesSubmissionDevice(api=ocl size=256MB)      29558.843      31940.466         16.92%      19821.700      35972.147
              NewResourcesSubmissionDevice(api=ocl size=1GB)     104178.053     101787.250          6.97%      95857.448     120560.536
                 NewResourcesSubmissionDevice(api=l0 size=1)        149.105        118.311         32.97%         85.866        222.785
              NewResourcesSubmissionDevice(api=l0 size=64KB)        104.252         86.107         27.14%         83.820        168.457
             NewResourcesSubmissionDevice(api=l0 size=512KB)        224.196        211.743         18.48%        176.039        289.538
               NewResourcesSubmissionDevice(api=l0 size=1MB)        304.315        300.595         11.25%        248.127        383.867
              NewResourcesSubmissionDevice(api=l0 size=16MB)       3544.439       2136.114        131.98%       1509.701      17562.312
              NewResourcesSubmissionDevice(api=l0 size=64MB)      10102.702       7071.382         50.26%       6396.724      18427.176
             NewResourcesSubmissionDevice(api=l0 size=256MB)      30812.911      31962.810         11.13%      20528.895      31973.962
               NewResourcesSubmissionDevice(api=l0 size=1GB)     103046.383     101241.985          7.82%      90261.820     120306.931
                  NewResourcesSubmissionHost(api=ocl size=1)         42.388         30.005         70.59%         29.257        129.388
               NewResourcesSubmissionHost(api=ocl size=64KB)         66.281         30.440         87.12%         29.212        200.574
              NewResourcesSubmissionHost(api=ocl size=512KB)         52.847         38.516         45.11%         37.862        114.602
